"id"|"title"|"category"|"tags"|"blog_image"|"body"|"post_date"
"1"|"ODUŠEVIO DOMAĆU PUBLIKU: Amir Grand rušio rekorde posjete Diskoteke EX Velika Kladuša"|"USK"|"amir grand, diskoteka ex, velika kladuša"|""|"<p style=""text-align: justify;""><strong>Nakon velikog broja nastupa izvan BiH zapaženi i sve traženiji pjevač Amir Grand konačno je imao nastup u rodnoj Velikoj Kladuši.</strong> U nedjelju, uoči Prvoj maja Diskoteka EX Velika Kladuša bila je rezervirana za nastup ovog Kladušanina koji je doslovno ""zakucao"" u nedjeljnoj večeri te do jutarnjih sati pravio ludu žurku u Velikoj Kladuši.</p>^^<p style=""text-align: justify;"">          -  <strong> ""Atmosfera je bila ekstra, pjevao sam do 5 ujutro</strong> iako sam bio umoran od puta i nastupa protekle tri noći bio u Baselu i St. Moritzu i Bužimu. Ipak sam za svoju raju dao maksimum, što govori puna Diskoteka EX do jutarnjih sati"", rekao nam je popularni Amir Grand nakon gostovanja u rodnoj Velikoj Kladuši.</p>^^<p style=""text-align: justify;"">Cazin.NET</p>^^<p><a href=""https://www.facebook.com/amir.grand/videos/1271620056220435/"">https://www.facebook.com/amir.grand/videos/1271620056220435/</a></p>^^<p style=""text-align: justify;""><img class=""alignleft size-full wp-image-429658"" src=""https://www.cazin.net/wp-content/uploads/2017/05/18308863_1273357619380012_1029091078_n.jpg"" alt="""" width=""720"" height=""576"" /><img class=""alignleft size-full wp-image-429659"" src=""https://www.cazin.net/wp-content/uploads/2017/05/18308922_1273357519380022_422426494_n.jpg"" alt="""" width=""720"" height=""576"" /><img class=""alignleft size-full wp-image-429660"" src=""https://www.cazin.net/wp-content/uploads/2017/05/18336578_1273357609380013_1302471616_n.jpg"" alt="""" width=""720"" height=""576"" /></p>^^<p style=""text-align: justify;""><img class=""alignleft size-full wp-image-429646"" src=""https://www.cazin.net/wp-content/uploads/2017/05/18198573_1271633659552408_8216282047988061797_n.jpg"" alt="""" width=""720"" height=""576"" /></p>^^<p style=""text-align: justify;""> </p>"|"Thursday, May 4, 2017 - 20:13"
"2"|"Humanitarna akcija za izgradnju kuće Osmančević Hasi iz Gornje Koprivne"|"CAZIN"|"gornja koprivna, hase osmančević, humanitarna akcija"|""|"<p style=""text-align: justify;""><strong>Hase živi u Gornjoj Koprivni u selu Osmančevići.</strong><br />^^ Živi u trošnoj kući koja je u vrlo lošem stanju i koja se raspada, u uvijetima neuslovnim za normalan život. Roditelji su mu umrijeli te nakon njihove smrti živi sam i nema ko da se brine o njemu.</p>^^<p style=""text-align: justify;"">Hase je nakon smrti jednog roditelja zadobio psihičko oboljenje, nakon kojeg se trebao liječiti no zbog okolnosti u kakvim se našao nije se liječio, te mu se zdravstveno stanje pogoršalo. Ove godine preko zime bio je smješten u privatnu ustanovu socijalne zaštite – dom za stare i odrasle osobe “Villa Minka” gdje je uredno primao terapiju i liječio se. Taj isti dom napustio je nako 3 mjeseca boravka jer nije bilo vise novčanih sredstava koji su njegovi mjestani prikupili kako bih ga smjestili u tu ustanovu. Ponovno se vraća kući i prestaje njegovo liječenje.</p>^^<p style=""text-align: justify;"">Zbog zdravstvenog stanja u kojem se nalazi, nesposoban je za rad i nije sposoban da se sam brine o sebi. Iz tog razloga Hase ne prima redovno terapiju.<br />^^ Hasu je, na reagovanje mještana, posjetila socijalna služba, i nakon obrade njegovog slučaja, počinje primati socijalnu pomoć u iznosu od 50KM, i pored toga ima jos pomoć dobrih i humanih komsija, koji mu pomažu i brinu se o njemu koliko mogu.<br />^^ Humanitarnu akciju za izgradnju nove kuće pokrenuli su mještani i komšije uz džematski odbor džemata Gornje Koprivne, a glavni pokretač među njima je Nedžad Orlić koji se i najviše brine o njemu, na čiji žiro račun možete uplatiti novac.</p>^^<p style=""text-align: justify;""> Molimo sve humane ljude da se odazovu ovoj akciji, i pomognu u izgradnji nove kuće za Hasu Osmančevića.</p>^^<p style=""text-align: justify;"">Uplatu novca možete izvršiti na transakcijski račun:</p>^^<p> Naziv banke: ZIRAAT BANK BH D.D.<br />^^ Naziv pravnog lica: NEDŽAD ORLIĆ<br />^^ Transakcijski račun broj: 186-222-033-232-95-76<br />^^ Svrha: Pomoć za izgradnju kuće Osmančević Hasi</p>^^<p> Za uplate iz inozemstva:<br />^^ Za uplatu iz Njemačke:<br />^^ Naziv banke: ZIRAAT BANK BH D.D.<br />^^ Naziv pravnog lica: NEDŽAD ORLIĆ<br />^^ SWIFT/BIC - DEUTDEFF<br />^^ Account number: 936-276-510<br />^^ Svrha: Pomoć za izgradnju kuće Osmančević Hasi</p>^^<p style=""text-align: justify;"">Cazin.NET</p>^^<p><a href=""https://youtu.be/4Cg-ba1cxBo"">https://youtu.be/4Cg-ba1cxBo</a></p>"|"Thursday, May 4, 2017 - 20:29"
"3"|"Bosanski Petrovac: Privrednik Arifagić i dalje čeka odgovore"|"USK"|"jusuf arifagić, kozarac, poljoprivrednik, slajder, usk"|""|"<p style=""text-align: justify;""><strong>Farmer Jusuf Arifagić još nije dobio odgovor iz federalnog Ministarstva za poljoprivredu, vodoprivredu i šumarstvo u vezi sa osporavanjem njegove investicije u Bosanskom Petrovcu gdje je zakupio zemlju da bi preselio grla iz Kozarca. Nikad još nije ušao u posjed tog zemljišta.</strong></p>^^<p style=""text-align: justify;"">Ministar Šemsudin Dedić nam je prije praznika rekao da čeka nalaz Federalne inspekcije koju je poslao na teren, te da će brzo postupiti čim inspekcija završi posao. Međutim, to se još nije desilo.</p>^^<p style=""text-align: justify;"">– <em>Nema od toga ništa. Inspekcija nema zakonsku osnovu da donosi tu nekakvo rješenje, ona samo evidentira stanje. Jedino upravna inspekcija može donijeti nekakvu odluku, a ne znam da je ta inspekcija bila na terenu. Eh, kako je federalna inspekcija vezana za Federalno pravobranilaštvo, ona to tumači, ali onda se postavlja pitanje zašto Pravobranilaštvo <strong>USK-</strong>a nije radilo svoj posao. Svi ti pokušaji da se prebaci odgovornost su pokušaji da se sakrije nerad Ministarstava, Pravobranilaštva i svega što je zakon propisao, ali taj rok je istekao da bi se državno zemljište uknjižilo. Ne krivim ministra Dedića, jer on nije ni gori ni bolji od svih njegovih prethodnika, a svi su odgovorni za neuređenost oblasti. Nemam nade da će se tu nešto pozitivno riješiti, jer ciljano se pogoduje tajkunima, da oni uknjiže zemljište i slične rabote. Preko inspekcija se ne može oprati sav nerad koji se vuče 20 godina,</em> kazao nam je <strong>Arifagić.</strong></p>^^<p style=""text-align: justify;"">Kako ne može da uđe u posjed već drugu godinu, te nije posijao ljetinu za farmu, <strong>Arifagić tvrdi da je odustao od investicija u Bosanskom Petrovcu.</strong></p>^^<p style=""text-align: justify;""><strong>Selidbu dijela farme u Bosansku Krupu također je privremeno obustavio</strong> zbog sličnog problema sa zakupom zemljišta u Općini, jer se pokazalo da tu zemlju već neko koristi.</p>^^<p style=""text-align: justify;""><em>(Izvor: Oslobođenje.ba)</em></p>"|"Friday, May 5, 2017 - 07:39"
"4"|"ZA SUHEJLU NOVKINIĆ! Humanitarni koncert u restoranu Halka"|"CAZIN"|"humanitarni koncert, restoran halka kapići, suhejla novkinić"|""|"<p style=""text-align: justify;"">Ova djevojčica je rođena s uvrnutim stopalom desne noge. Sa dvije godine je imala operaciju u Bihaću koja, nažalost, nije bila uspješna. Pored uvrnutog stopala, djevojčici na kičmi raste kosa, kao u nas na glavi, a doktori u Njemačkoj tvrde da to još nisu vidjeli.</p>^^<p style=""text-align: justify;"">Još jedna humanitarna akcija organizirana je kako bi se prikupila dodatna sredstva za oboljelu djevojčicu. Ovog puta, radi se o humanitarnom koncertu koji će se održati u Restoranu ""HALKA"" Kapići, Cazin. Datum koncerta je subota 06.05.2017 s početkom od 20 h. Dođite svi u Halku, podržite svojim dolaskom ovu akciju.Nastupaju Old Time bend te Hasib Murtić, Zlatan Tepić, Jasmina Ilić i mnogo drugi.</p>^^<p style=""text-align: justify;"">Cazin.NET</p>^^<p style=""text-align: justify;""><img class=""alignleft size-full wp-image-429733"" src=""https://www.cazin.net/wp-content/uploads/2017/05/18320862_1906961962662757_8852584144563850028_o.jpg"" alt="""" width=""1593"" height=""2048"" /></p>"|"Friday, May 5, 2017 - 07:43"
"5"|"DOM ZDRAVLJA CAZIN: Naredne godine Hemodijalizni centar"|"CAZIN"|"amir murić, cazin, dom zdravlja, hemodijaliza, slajder"|""|"<div>^^<div class=""_1t_p clearfix"">^^<div class=""_41ud"">^^<div class=""clearfix _o46 _3erg _3i_m _nd_ direction_ltr text_align_ltr"">^^<div id=""js_is"" class=""_3058 _ui9 _hh7 _s1- _52mr _43by _3oh-"" data-tooltip-content=""Nedjelja 19:56"" data-hover=""tooltip"" data-tooltip-position=""right"">^^<div class=""_aok"" style=""text-align: justify;""><strong><span class=""_3oh- _58nk"">Građevinski radovi na objektu završeni u rekordnom roku. Dva ljekara na edukaciji, šest medicinskih sestara već završile obuku. Riječ je o početnom broju osoblja za pacijente iz Cazina.</span></strong></div>^^<div class=""_aok"" style=""text-align: justify;""> </div>^^</div>^^<p> </p>^^</div>^^</div>^^</div>^^</div>^^<div style=""text-align: justify;"">Od naredne godine sa radom bi trebao startati <strong>Centar za hemodijalizu pri Domu zdravlja u Cazinu.</strong> Prošle godine počeli su građevinski radovi, a ovih dana završavaju su aktivnosti na prijemu objekta, te instaliranju opreme. U početku će centar primati pacijente iz Cazina, da bi kasnije svoje usluge ponudio i susjednim općinama.</div>^^<div style=""text-align: justify;"">Uskoro će takio <strong>bubrežni bolesnici u USK imati kvalitetnu zdravstvenu uslugu u čak tri centra.</strong></div>^^<div style=""text-align: justify;""> </div>^^<div style=""text-align: justify;"">Nakon što je riješen problem sanskih pacijenata koji se već duže vrijeme liječe u Prijedoru, <strong>dobre vijesti stižu i za pacijente iz Cazina, Bužima, Velike Kladuše i Bosanske Krupe. </strong>Od naredne godine i oni bi trebali biti u značanojoj mjeri pošteđeni putovanja.</div>^^<div style=""text-align: justify;""> </div>^^<div style=""text-align: justify;""><em> „Pred nama je da izvršimo prijem objekta i da krenemo sa instalacijom opreme koja je ranije nabavljena.Čim se izvrši prijem i dobije urbanistička saglasnost općine, krećemo s edukacijom ljudi koji će raditi a toj opremi“,</em> kaže <strong>Amir Murić,</strong> v.d. direktora <strong>Doma zdravlja Cazin.</strong></div>^^<div style=""text-align: justify;""> </div>^^<div style=""text-align: justify;"">Može se reći da su građevinski radovi na objektu završeni u rekordnom roku. Dva ljekara su na edukaciji, šest medicinskih sestara već su završile obuku.</div>^^<div style=""text-align: justify;""> </div>^^<div style=""text-align: justify;"">Riječ je o početnom broju osoblja za pacijente iz Cazina. <em>„Ako sve bude išlo kako je planirano, počet ćemo primati i pacijente iz Velčike Kladuše, Bužima i Bosanske Krupe“,</em> kaže <strong>Murić.</strong></div>^^<div style=""text-align: justify;""> </div>^^<div style=""text-align: justify;"">Smatra da otvaranjem cazinskog centra, Kantonalna bolnica neće izgubiti značajan broj pacijenata, jer postoje zahvati koji se isključivo obavljaju u Bihaću.</div>^^<div style=""text-align: justify;""> </div>^^<div style=""text-align: justify;"">Ipak, saradnja Doma zdravlja i Kantonalne bolnice mora postojati. <em>„Kapacitet je 50 do 70 pacijenata ako se bude radilo u dvije smjene kao i u Bihaću. Bolnica ima pacijente iz Bihaća, Bosanskog Petrovca i Bosanske Krupe. Koordinirat ćemo, jer bez toga nema kvaliteta usluge i dobrobiti za pacijente“</em>, kaže <strong>Murić.</strong></div>^^<div style=""text-align: justify;""> </div>^^<div style=""text-align: justify;"">Za pacijente otvaranje hemodijalznog centra sigurno je <strong>dobra vijest.</strong></div>^^<div style=""text-align: justify;""> </div>^^<div style=""text-align: justify;"">Za poslovanje Doma zdravlja tek će se vidjeti. No, za svoje finansije c<strong>azinsko zdravstvo za sada ne mora se brinuti.</strong></div>^^<div style=""text-align: justify;""> </div>^^<div style=""text-align: justify;"">Prihodi su stabilni, a činjenica da su u najvećoj mjeri sami isfinansirali projekt, daje im za pravo da se smatraju najuspješnijom zdravstvenom ustanovom u Kantonu.</div>^^<div style=""text-align: justify;""> </div>^^<div style=""text-align: justify;""><em>(Izvor: rtvusk.ba)</em></div>"|"Monday, May 8, 2017 - 07:39"
"6"|"KBV ""Budo"" Cazin - s Kantonalnog prvenstva donijeli čak 28 medalja"|"CAZINSKI SPORT"|"cazinjani, kantonalno takmičenje, kbv budo"|""|"<p style=""text-align: justify;"">U subotu,06.maja 2017.godine,naš klub je nastupio na Kantonalnom prvenstvu za djecu,kadete,juniore i seniore u Bosanskoj Krupi. Na prvenstvu je nastupilo 17 klubova,učešće je uzeo i KBV Budo sa 19 takmičara i napravili jako dobar rezultat, donijeli smo 28 medalja u Cazin u različitim kategorijama,pojedinačno i ekipno! Osvojili smo 6 zlatnih medalja,13 srebrenih i 9 bronzanih medalja!</p>^^<p style=""text-align: justify;"">U pojedinačnim nastupima medalje su osvojili:</p>^^<p style=""text-align: justify;"">• Sara Vilić - 2.mjesto kate;<br />^^• Elvedin Vilić - 1.mjesto borbe i 3.mjesto kate;<br />^^• Ena Kapić - 1.mjesto borbe i 2.mjesto kate;<br />^^• Meris Vilić - 2.mjesto borbe;<br />^^• Ilhan Muranović 2.mjesto borbe;<br />^^• Belmin Hadzalić - 3.mjesto borbe;<br />^^• Amina Abdić - 1.mjesto borbe;<br />^^• Elmina Đogić - 3.mjesto kate.</p>^^<p style=""text-align: justify;"">U ekipnim nastupima smo osvojili sljedeće:</p>^^<p style=""text-align: justify;"">• Kate ekipno juniori 1.mjesto:<br />^^1.Bajramović Amar<br />^^2.Bajramović Amel<br />^^3.Hadzalić Ibro</p>^^<p style=""text-align: justify;"">• Kate ekipno kadetkinje 3.mjesto:<br />^^1.Muranović Ilma<br />^^2.Ramić Ajla<br />^^3.Sabić Arijana</p>^^<p style=""text-align: justify;"">• Kate ekipno dječaci 12-13 god 3.mjesto:<br />^^1.Muranović Ilhan<br />^^2.Vilić Meris <br />^^3.Vilić Elvedin</p>^^<p style=""text-align: justify;"">• Kate ekipno djevojčice 10-11 god. 2.mjesto:<br />^^1.Vilić Sara<br />^^2.Kapić Ena<br />^^3.Abdić Amina</p>^^<p style=""text-align: justify;"">• Borbe ekipno Juniori 2.mjesto:<br />^^1.Bajramović Amar<br />^^2.Hadzalić Ibro<br />^^3.Hadzalić Belmin</p>^^<p style=""text-align: justify;"">• Borbe ekipno djevojčice 10-11 god. 2.mjesto:<br />^^1.Kapić Ena<br />^^2.Abdić Amina<br />^^3.Đogić Elmina</p>^^<p style=""text-align: justify;"">Sa ovim rezultatom naš klub se našao na 6. mjestu od 17 klubova na Kantonalnom prvenstvu, ali naš cilj je ući u top 3 kluba iduće godine. Zahvaljujemo se roditeljima koji su pratili djecu i koji su bili podrška kako djeci, tako i treneru. Naš najuspješniji član na jučerašnjem takmičenju je bila Kapić Ena sa osvojene 4 medalje. Također, pohvale idu i za Elvedina Vilića za odlične borbe u pojedinačnoj kategoriji i osvojeno zlato.</p>^^<p style=""text-align: justify;"">KBV Budo Cazin</p>"|"Monday, May 8, 2017 - 20:42"
"7"|"Restoran Halka - 11. i 12. maja nastupaju Samira Suljić i Kadić Nukić"|"DEŠAVANJA"|"kadir nukić, nastupi, restoran halka kapići"|""|"<p>Na mjestu najbolje zabave u gradu, restoranu Halka Kapići - Cazin i tokom ove sedmice očekuje nas dobra muzika i nastupi muzičara koji obećavaju standardno dobru zabavu kakvu redovno pruža Halka.</p>^^<ul><li><strong>U četvrtak 11. maja uživo će vas zabavljati Samira Suljić uz Oluja bend.</strong></li>^^<li><strong>U petak 12. maja s nama je poznato ime, Kadir Nukić čiji je nastup u Halki već izazvao veliko interesovanje.</strong></li>^^</ul>"|"Monday, May 8, 2017 - 21:35"
"8"|"(FOTO) MLADOST NA OKUPU: Parada ovogodišnje generacije cazinskih maturanata"|"CAZIN"|"cazin, maturanti, parada"|""|"<p>Pored zasebnih maturskih večeri srednjih škola, koje se održavaju ovih dana, maturanti četiri cazinske srednje škole okupljaju se i zajedno na tradicionalnoj Maturskoj paradi i zabavi koja je održana danas pod pokroviteljstvom Grada Cazina.</p>^^<h3 style=""text-align: center;""><a href=""http://galerija.cazin.net/galerija/parada-maturanata-2017"">FOTO GALERIJA</a></h3>^^<p>-„Dragi maturanti, ja vam od srca čestitam uspješno okončanje jednog dijela vašeg obrazovanja. Ovo je trenutak kada ulazite u jednu novu fazu života i ono što se naziva zrelošću. Neka vas na tom putu prate odlučnost i hrabrost da pobijedite sve životne izazove i iz svakoga izađete kao bolji i plemenitiji ljudi. Bez obzira na to koji put ste odabrali ili će te odabrati, želim da vam bude uspješan i da, uz sve obrazovne, poslovne i druge uspjehe budete živi i zdravi. Neka vam je sretna matura!“, rekao je gradonačelnik mr. Nermin Ogrešević obraćajući se maturantima.</p>^^<p>Gimnazija Cazin ove je godine ispratila 58 maturanata. Prva srednja škola 195. Druga srednja škola njih 161, a Medresa „Džemaluddin Čaušević“ 49. Nakon svečanog defilea kroz centar grada, 463 cazinskih maturanata zabavljalo se uz domaći „Aquarius band“ ispred zgrade stare Gimnazije.</p>^^<p>Cazin.NET</p>^^<p><img class=""alignleft size-full wp-image-431743"" src=""https://www.cazin.net/wp-content/uploads/2017/05/18452407_10211499445193223_157652826_o.jpg"" alt="""" width=""1136"" height=""639"" /></p>"|"Wednesday, May 10, 2017 - 18:48"
"9"|"Mahmut Alagić i Amir Murić novi članovi Demokratske fronte"|"USK"|"amir murić, demokratska fronta, mahmut alagić"|"/sites/default/files/wp-content/uploads/2017/05/alagic-muric.jpg"|"<p class=""shortdesc"" style=""text-align: justify;""><strong>U Bosanskoj Krupi jučer je održana press konferecija DF kojoj je prisustvovao i predsjednik stranke Željko Komšić. Bilo je riječi o aktuelnoj političkoj situaciji BiH i pripremama za predstojeće izbore, a uručene su i članske iskaznice novim članovima ove politčke partije Mahmutu Alagiću i Amiru Muriću.</strong></p>^^<p style=""text-align: justify;"">DF će na predstojeće izbore izaći sa svim lijevo i građanski orijentirtanim strankama, jer se želi  se želi boriti za bolju BIH, državu jednakih mogućnosti za sve. Riječ je odluci kojom <strong>ova stranka želi spriječiti pod</strong>jelu BiH, a na kojoj, kako je istaknuto danas, otvoreno rade nacionalne stranke.</p>^^<p style=""text-align: justify;"">Kako je istaknuto, <strong>DF-u prilazi sve više časnih i poštenih ljudi,</strong> ali dokazanih patriota i ljudi sa bogatim političkim iskustvom, poput Mahmuta Alagića i Amira Murića, kojima su jučer uručene članske karte DF-a.</p>^^<p style=""text-align: justify;""> </p>^^<p style=""text-align: justify;""><em>(Izvor: RTVUSK.ba)</em></p>"|"Monday, May 1, 2017 - 12:57"
"10"|"(VIDEO) USK rekorder u Federaciji po broju bivših vlada i ministara"|"USK"|"federacija, slajder, usk, vlada usk"|"/sites/default/files/wp-content/uploads/2017/05/vlada-usk.jpg"|"<p style=""text-align: justify;""><strong>Još se nije slegla prašina ni oko prošle rekonstrukcije manjinske vlade SDA-SBB, koja je izvršena prije sedam dana, a u političkim krugovima već se nagađa o novoj.</strong></p>^^<p style=""text-align: justify;""><strong>Za 22 godine imao je 18 premijera</strong> i s rekonstrukcijama, najmanje 25 različitih sastava vlade. </p>^^<p><iframe style=""border: none; overflow: hidden;"" src=""https://www.facebook.com/plugins/video.php?href=https%3A%2F%2Fwww.facebook.com%2Ffederalna%2Fvideos%2Fvb.309363762412432%2F1744566572225470%2F%3Ftype%3D3&show_text=0&width=560"" width=""560"" height=""315"" frameborder=""0"" scrolling=""no"" allowfullscreen=""allowfullscreen""></iframe></p>^^<p><em>(Izvor: FTV)</em></p>"|"Monday, May 1, 2017 - 13:03"
